,MonLastDon,NoDon,MonFirstDon,AveDonPerPeriod
663,11,3,76,0.118421052632
262,2,13,32,1.21875
461,2,12,98,0.367346938776
373,2,34,77,1.32467532468
233,4,1,4,0.75
466,2,2,11,0.545454545455
207,2,7,77,0.272727272727
263,4,1,4,0.75
16,23,1,23,0.130434782609
513,23,3,35,0.257142857143
449,4,5,33,0.454545454545
429,23,3,62,0.145161290323
701,2,1,2,1.5
632,21,2,41,0.146341463415
529,2,9,22,1.22727272727
245,11,9,33,0.818181818182
344,16,6,40,0.45
353,16,3,19,0.473684210526
241,8,15,77,0.584415584416
633,16,1,16,0.1875
624,2,1,2,1.5
726,5,24,79,0.911392405063
189,11,1,11,0.272727272727
138,12,15,71,0.633802816901
402,14,1,14,0.214285714286
511,4,6,23,0.782608695652
590,9,9,16,1.6875
334,2,3,52,0.173076923077
447,16,3,50,0.18
119,2,2,11,0.545454545455
389,4,14,86,0.488372093023
644,4,1,4,0.75
423,3,4,29,0.413793103448
131,23,1,23,0.130434782609
405,40,1,40,0.075
82,4,1,4,0.75
643,2,41,98,1.25510204082
156,4,2,52,0.115384615385
617,21,3,38,0.236842105263
574,2,3,9,1.0
272,2,12,95,0.378947368421
613,11,2,52,0.115384615385
545,4,1,4,0.75
685,14,1,14,0.214285714286
570,11,5,33,0.454545454545
537,4,9,26,1.03846153846
691,16,1,16,0.1875
85,4,16,70,0.685714285714
483,14,2,14,0.428571428571
455,14,3,28,0.321428571429
93,11,1,11,0.272727272727
744,2,1,2,1.5
33,14,2,14,0.428571428571
321,4,23,58,1.18965517241
523,6,3,26,0.346153846154
426,16,2,16,0.375
196,14,2,29,0.206896551724
301,11,7,64,0.328125
103,16,1,16,0.1875
224,21,2,23,0.260869565217
454,23,8,46,0.521739130435
585,23,2,28,0.214285714286
154,4,11,64,0.515625
